ein,org_name,state,fiscal_year,total_revenue,total_expenses,highest_exec_compensation
941340523,Kaiser Foundation Health Plan Inc,CA,2023,75101306911,74356004001,
941105628,Kaiser Foundation Hospitals,CA,2023,32787361466,30650696643,12835
900656139,Mass General Brigham Incorporated And Affiliates Group Rtn,MA,2023,22733221565,21584405066,2841349
383952644,Mayo Clinic Group Return,MN,2023,13970744790,13778960002,4309705
133783732,Healthfirst Phsp Inc,NY,2023,12085677439,11924402575,
611740292,Corewell Health,MI,2023,10374249146,10229587760,30538
133957095,The New York And Presbyterian Hospital,NY,2023,10254512111,9755790336,
941196203,Dignity Health,AZ,2023,9914543261,10126687245,
510216586,Providence Health & Services Washington,WA,2023,9778288664,10122138729,
942854057,Ihc Health Services Inc,UT,2023,9638578611,8793797318,
450233470,Banner Health,AZ,2023,9479573911,8672348619,
364724966,Northwestern Memorial Healthcare,IL,2023,9147061001,8938053992,6115400
133971298,Nyu Langone Hospitals,NY,2023,8868510832,7561157803,
521301088,Bon Secours Mercy Health Inc,OH,2023,8710340168,9002797483,
311143265,Caresource Ohio Inc,OH,2023,8525679969,7984656203,
340714585,The Cleveland Clinic Foundation,OH,2022,7583607049,7671629275,
741152597,Memorial Hermann Health System,TX,2023,7581409425,6952309636,
010649794,Hackensack Meridian Health Inc,NJ,2023,7466842942,7143661248,7772269
912154267,Memorial Sloan Kettering Cancer Center,NY,2023,7462624000,7188709398,
416011702,Mayo Clinic,MN,2022,7075354210,5677955626,
851296795,Rwj Barnabas Health Inc,NJ,2023,7072464110,7170718931,2760844
946174066,Stanford Health Care 227,CA,2023,7049201975,6584068268,
352528741,Vanderbilt University Medical Center,TN,2023,6921172886,6812818433,
362169147,Advocate Health And Hospitals Corporation,IL,2023,6903058013,7524374137,
581954432,Northside Hospital Inc,GA,2023,6841156789,6737049547,
753052953,Bjc Health System,MO,2023,6738340519,6580144291,4127564
591479658,Adventist Health System Sunbelt Inc,FL,2022,6252705895,5809231036,
363573805,Ucare Minnesota,MN,2023,6156191357,6276603578,
941461312,Delta Dental Of California,CA,2023,6137780226,5833835325,7171497
520954463,Kaiser Foundation Health Plan Of The Mid Atlantic States Inc,MD,2023,5884071284,5875670239,
351955872,Indiana University Health Inc,IN,2023,5752062837,4970388034,
540620889,Inova Health Care Services,VA,2023,5667336357,5406947957,
